arquivo;status;natureza;referencias;paginas_que_referenciam
PRESTA_Conf/first.gif;não recuperada;interface/decorativa;56;PRESTA_Conf/sld001.htm | PRESTA_Conf/sld002.htm | PRESTA_Conf/sld003.htm | PRESTA_Conf/sld004.htm | PRESTA_Conf/sld005.htm | PRESTA_Conf/sld006.htm | PRESTA_Conf/sld007.htm | PRESTA_Conf/sld008.htm | PRESTA_Conf/sld009.htm | PRESTA_Conf/sld010.htm | PRESTA_Conf/sld011.htm | PRESTA_Conf/sld012.htm | PRESTA_Conf/sld013.htm | PRESTA_Conf/sld014.htm | PRESTA_Conf/sld015.htm | PRESTA_Conf/sld016.htm | PRESTA_Conf/sld017.htm | PRESTA_Conf/sld018.htm | PRESTA_Conf/sld019.htm | PRESTA_Conf/sld020.htm | PRESTA_Conf/sld021.htm | PRESTA_Conf/sld022.htm | PRESTA_Conf/sld023.htm | PRESTA_Conf/sld024.htm | PRESTA_Conf/sld025.htm | PRESTA_Conf/sld026.htm | PRESTA_Conf/sld027.htm | PRESTA_Conf/sld028.htm | PRESTA_Conf/sld029.htm | PRESTA_Conf/sld030.htm | PRESTA_Conf/sld031.htm | PRESTA_Conf/sld032.htm | PRESTA_Conf/sld033.htm | PRESTA_Conf/sld034.htm | PRESTA_Conf/sld035.htm | PRESTA_Conf/sld036.htm | PRESTA_Conf/sld037.htm | PRESTA_Conf/sld038.htm | PRESTA_Conf/sld039.htm | PRESTA_Conf/sld040.htm | PRESTA_Conf/sld041.htm | PRESTA_Conf/sld042.htm | PRESTA_Conf/sld043.htm | PRESTA_Conf/sld044.htm | PRESTA_Conf/sld045.htm | PRESTA_Conf/sld046.htm | PRESTA_Conf/sld047.htm | PRESTA_Conf/sld048.htm | PRESTA_Conf/sld049.htm | PRESTA_Conf/sld050.htm | PRESTA_Conf/sld051.htm | PRESTA_Conf/sld052.htm | PRESTA_Conf/sld053.htm | PRESTA_Conf/sld054.htm | PRESTA_Conf/sld055.htm | PRESTA_Conf/sld056.htm
PRESTA_Conf/ielogo.gif;não recuperada;interface/decorativa;1;PRESTA_Conf/index.htm
PRESTA_Conf/img001.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld001.htm
PRESTA_Conf/img002.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld002.htm
PRESTA_Conf/img003.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld003.htm
PRESTA_Conf/img004.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld004.htm
PRESTA_Conf/img005.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld005.htm
PRESTA_Conf/img006.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld006.htm
PRESTA_Conf/img007.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld007.htm
PRESTA_Conf/img008.JPG;recuperada;figura/conteúdo;1;PRESTA_Conf/sld008.htm
